Electrical Infrastructure,PSA Oxygen Plant,Surgical Bed Expansion,Operational Costs,Total Cost
75913265.19891882,72916847.50378288,64442904.62762119,283459269.5213028,496732286.8516257
72728744.1118642,61765617.69716745,47969029.55088952,229453328.25177822,411916719.61169934
66389605.34680178,82783922.44317885,60529925.58700489,310740303.3571183,520443756.7341038
75783276.92194341,76203709.80904858,69262075.5770395,359688929.60323817,580937991.9112697
90058542.70602812,77956764.07755458,58282888.52101883,306466669.72320604,532764865.0278076
82608529.94730237,63212410.97779298,66263855.621607356,263092596.25906667,475177392.8057694
78212565.2788516,91795312.16001347,83108946.37056105,361637951.08273846,614754774.8921646
71684705.30445154,69980273.17671302,70504719.37416045,263262242.1052655,475431939.96059054
72131757.88790227,67110565.53442973,66804052.628507644,323191182.73850334,529237558.789343
87378804.5832863,82526923.30511485,72616135.71119246,317678709.2357616,560200572.8353552
80074984.43854706,93178673.3714463,72281722.46163696,333664884.5500837,579200264.821714
117087609.37575136,78709197.7815164,51343345.514881425,292500040.3075075,539640192.9796567
85554271.19714275,91540043.9717059,68423549.31380148,391488004.0275468,637005868.5101969
100638001.28129163,70465249.61654903,53820105.71617713,302175876.0870341,527099232.70105195
100952708.98198327,87154156.43466417,84550792.50817645,375985278.1849421,648642936.109766
93028641.13801977,91512251.66126469,77390512.20091443,365297308.2494762,627228713.249675
116177694.92006192,72871426.67934848,69379930.69858046,358148150.84616166,616577203.1441525
68750373.56669968,92255928.19725288,77143986.86650442,321625731.5109154,559776020.1413724
80303368.73497717,85654342.44175102,62304055.47626375,264880073.07391518,493141839.72690713
84142130.82023041,64954491.098321855,62589631.841200486,238622366.9523915,450308620.71214426
73358831.44897828,75774237.17437501,68312713.59970663,323977509.63182956,541423291.8548895
109198620.12546961,70591385.11004367,81143896.68311301,328676713.64550227,589610615.5641285
75811273.07112594,92035948.91665891,76577318.44903253,354825909.8028655,599250450.2396829
84619652.21322913,65876329.77296123,54908754.34256717,255895207.25371915,461299943.58247674
90986754.102419,76084784.8603086,69243629.72116053,294733390.5146375,531048559.1985256
78718937.4772772,72073558.68328574,74422052.55324367,308498695.9027419,533713244.61654854
111705087.31153955,75746453.95325294,67972364.60855232,293636512.5640588,549060418.4374037
86854682.62708576,83548783.8940251,69247224.34732641,297449586.9175792,537100277.7860165
103233494.1293392,95460537.97864866,83632008.34460516,387409112.09176105,669735152.5443541
53478128.71443554,76561096.42539561,57777300.68109181,308099047.19929576,495915573.02021873
79896735.65821426,77547210.12048227,59784239.668978885,257921636.70944357,475149822.157119
89597174.32982388,77824535.38641931,62388057.064983286,234510942.9267317,464320709.7079582
66104666.86023831,63775228.41319131,60913796.732124075,345179042.69014245,535972734.6956962
81555053.43698877,64584722.89213219,51374690.278602675,423257984.9897991,620772451.5975227
74817428.18189757,67593861.0232878,57862331.077879734,267086415.12247232,467360035.40553737
99220659.46045396,83065838.77991308,65074642.985679254,337554506.9724025,584915648.1984489
87209889.29433267,73439677.42016633,56405527.19243959,258920697.8481482,475975791.7550868
85598462.80623117,85773531.8738805,58454549.078058824,345787007.51263195,575613551.2708025
112653590.84160548,79614755.93819281,66080116.22244118,258109294.10643744,516457757.1086769
90793756.5559996,82072872.14265057,64067146.702818975,286583720.61034817,523517496.01181734
94451793.80842099,80709158.27108528,60007638.16645979,308293380.1004124,543461970.3463786
105629020.83190978,80890949.34946813,66733092.59384775,314366565.3358815,567619628.1111071
80529960.47228606,64266848.20086897,67981705.57586499,309252880.3439379,522031394.5929579
96884029.39575274,70011942.88360503,58608535.322524235,332042617.94691896,557547125.548801
93150418.84661843,91383806.71536422,80604916.4001139,343386389.8444927,608525531.8065891
107139997.86209457,85562960.56415603,65184127.83140748,284403929.92328507,542291016.1809431
93996826.5297553,65509740.35838195,54567041.784718856,304468149.2558921,518541757.9287482
99549913.46550104,78940008.77742603,85321065.51097417,316315667.15453166,580126654.908433
85907429.5978072,88346891.58986089,66331638.27235231,293664287.10826266,534250246.5682831
55327614.30387826,70673397.6009336,59397659.97250685,289377251.41005725,474775923.2873759
84321180.05515878,80702688.41938289,57918109.038171135,350306357.55229545,573248335.0650083
88664551.7156495,86953340.62361377,68029350.79646796,336483157.8296342,580130400.9653654
80062173.60328282,89218106.72354016,66123233.629328996,303865887.8738494,539269401.8300014
95136286.96512264,86669196.1438357,68983054.5613759,294535912.10783255,545324449.7781668
82191536.29978035,73641710.42166111,68259436.48401612,369165060.7261588,593257743.9316163
74433555.00847913,77870425.2639544,69439315.76535966,284463416.55271,506206712.59050316
69485272.41810514,88456603.3128764,85852291.28305537,383414060.2669821,627208227.281019
96764473.72291805,56344933.91302053,49533972.42658899,282620540.8985615,485263920.961089
79379581.39827427,73926127.36646944,52710170.49141853,296345046.2911093,502360925.5472716
82384190.76244491,87329537.77811301,64281906.22597497,341918366.94994557,575914001.7164785
115518992.55922,81887585.22464572,78332063.79028518,338708582.9884145,614447224.5625654
96929808.57878147,73785367.43959418,67406784.61450939,241401390.00868514,479523350.6415702
80792826.1884901,66320959.11789692,69553715.12968898,286130284.08139205,502797784.51746804
113605562.17757183,77716864.95832303,70171100.74104966,226193265.06661552,487686792.94356006
120065671.36540005,83199267.28503768,77389697.77230786,274706141.4481679,555360777.8709135
71748515.02741103,70330609.98141709,64030861.66233611,290438919.0585814,496548905.7297456
108706155.18987195,88976300.42107387,52117219.51326869,235682967.0354611,485482642.1596756
72709814.52265868,64571330.19660231,57369590.67239589,241550515.56747517,436201250.9591321
98547852.064737,73218375.04935633,70260374.4937313,300436701.7675986,542463303.3754232
