Electrical Infrastructure,PSA Oxygen Plant,Surgical Bed Expansion,Operational Costs,Total Cost
87989643.59526974,86531908.5093332,56980065.22858782,354234580.9249167,585736198.2581074
85028999.66327356,72031951.14107053,57247648.8054246,241775058.282386,456083657.8921547
99495891.88193512,79083151.51823291,58154116.34678792,255713563.30303556,492446723.0499915
82642456.10987407,91165158.33694117,68651596.37144989,262464518.890816,504923729.7090812
83842717.63944928,73092420.24563737,47109633.18284318,277522367.8004742,481567138.86840403
84041778.9808483,81789353.11153984,84498772.0991104,369909522.58062595,620239426.7721245
83532530.2413761,66327395.24834788,84619909.02357222,321181232.6850027,555661067.1982989
87402689.37007456,75933713.61848775,67626363.24024749,301019405.4127982,531982171.641608
79553547.04059254,69976637.32884447,63253741.75650678,280417762.60608196,493201688.73202574
77800023.05867122,75079226.91266723,63271735.61068309,356981400.9747734,573132386.5567949
57041231.89275676,78406848.52621649,75239538.47002254,246486584.34786195,457174203.2368578
82551152.29503927,72010005.1259575,54503828.52246688,264130083.70196512,473195069.6454288
72999312.30481134,89492039.44018352,77827332.69166571,370864883.7014729,611183568.1381335
97891780.03294584,68578117.76107456,60071984.97761567,312315715.1307367,538857597.9023728
71706852.11204648,79050866.50505136,64330256.95655783,289753780.10982496,504841755.6834806
97723999.063079,82208518.78373682,65858607.508893535,350562755.975895,596353881.3316044
73345129.16223784,78571270.68043534,70953294.41596617,298891006.0416058,521760700.3002451
91883524.96367632,66653994.523506954,70201585.22955951,299067202.9318526,527806307.64859533
80205140.69882244,84292251.41038203,62975293.34284027,257905502.9939466,485378188.44599134
67966838.7908586,77137542.94532655,56095607.86954794,356964469.6922466,558164459.2979797
62483303.624855645,85835320.90787193,69459562.36248773,306362714.8173649,524140901.7125802
79920562.8575197,78135266.75810085,66097200.91317276,345919677.87474936,570072708.4035426
88817849.15753086,77761350.41065644,63948583.780294545,300688035.84866995,531215819.1971518
91614193.56248386,63170734.88261375,52468757.260769926,308588123.32035834,515841809.0262259
89627079.20590769,74970941.93519074,65981336.923303805,316404865.3368091,546984223.4012114
79986621.88455935,68215170.46121703,64355569.243020274,267269935.28061366,479827296.8694103
93099818.42170098,63457144.44355586,69760275.22313611,320707511.22533596,547024749.3137289
90857790.26677679,86048573.46545807,84851263.99677463,367662957.5778877,629420585.3068972
64942449.08890426,61407667.86866564,55152226.94859081,285319167.4049565,466821511.31111723
94745309.34478424,71317078.00650471,66238129.28107648,277985117.7010748,510285634.33344024
79072740.14577998,63275823.7251519,54640312.39802051,244395453.23208094,441384329.5010333
74591087.36967498,82960866.35136127,60468703.723644085,405336101.3360893,623356758.7807696
94376716.76689771,79154268.95610842,60999502.75651879,325140582.057137,559671070.5366619
79528379.97684129,75590117.14415202,88722377.36646882,322647944.3653432,566488818.8528054
104829770.8945431,73162164.9927304,65655335.7092185,372318186.09375775,615965457.6902497
78877354.93860145,91712670.32392348,76924115.25246426,300546410.87383753,548060551.3888267
96502408.86518547,87130708.6790577,75675993.18336563,266242316.18790847,525551426.9155173
77622173.86755846,72035108.25139737,63566414.3634913,321664983.74479395,534888680.2272411
89725241.72828303,65653993.67202305,65309077.185992576,321465784.02019024,542154096.606489
95386702.38561569,87994075.04005198,77846274.32989436,338748462.27460283,599975514.0301648
86233544.14757797,62664655.76449343,64294420.60399388,304285827.6811415,517478448.1972068
91084308.30208549,66325453.77954078,55203151.36420874,325126403.37300503,537739316.81884
86657291.32450937,82220018.22521175,68384932.44770896,310098926.8544299,547361168.85186
101347008.88946845,74189676.03323373,66896562.053870186,289535066.7458252,531968313.72239757
81346359.02513163,72288236.74867086,66154885.10695465,286530823.9041568,506320304.78491396
106632650.01949744,71839918.83598995,64091544.90947789,286695151.37182206,529259265.13678735
109948450.60480815,82054484.71472731,78281585.8119393,270165203.668352,540449724.7998267
91018278.22845937,85162931.86093038,70046226.67330179,352732950.1544977,598960386.9171892
80274972.12115104,87890911.85688192,91438698.16311009,319535843.63117,579140425.772313
81203110.21431452,88569568.73184781,84291530.89779772,307857927.3799271,561922137.2238872
81532976.37165827,72554902.72246867,55030415.16899972,260618469.83491272,469736764.0980394
